postcode,latitude,longitude,admin_district,admin_county,country
TN11 0DD,51.224211,0.33877,Tonbridge and Malling,Kent,England
DA13 9BW,51.384376,0.376752,Gravesham,Kent,England
DA16 1JD,51.463392,0.123276,Bexley,,England
TN13 1NU,51.267698,0.185577,Sevenoaks,Kent,England
TN12 8ES,51.128113,0.442667,Tunbridge Wells,Kent,England
TN16 1NE,51.26239,0.098175,Sevenoaks,Kent,England
TN13 3DJ,51.286131,0.175094,Sevenoaks,Kent,England
TN25 4AU,51.218954,0.877967,Ashford,Kent,England
TN12 7PB,51.150719,0.388448,Tunbridge Wells,Kent,England
TN26 3QW,51.085714,0.772093,Ashford,Kent,England
TN15 0ES,51.2866,0.253952,Sevenoaks,Kent,England
LE15 8HE,52.638004,-0.633725,Rutland,,England
TN15 7PT,51.321612,0.315648,Tonbridge and Malling,Kent,England
E1W 2BQ,51.508986,-0.064817,Tower Hamlets,,England
DA11 7RE,51.421458,0.369083,Gravesham,Kent,England
TN15 7PH,51.337208,0.30647,Tonbridge and Malling,Kent,England
NW6 6DA,51.535954,-0.215567,Brent,,England
DA8 3EA,51.478742,0.172897,Bexley,,England
DA5 3NP,51.442659,0.137898,Bexley,,England
TN26 2PE,51.068764,0.884143,Ashford,Kent,England
TN13 3AB,51.274445,0.190743,Sevenoaks,Kent,England
TN15 0SJ,51.247314,0.243332,Sevenoaks,Kent,England
TN26 2ES,51.075634,0.806999,Ashford,Kent,England
TN12 7NP,51.152818,0.400612,Tunbridge Wells,Kent,England
TN13 2LL,51.271473,0.178918,Sevenoaks,Kent,England
TN2 4BB,51.149744,0.348688,Tunbridge Wells,Kent,England
TN25 5LL,51.137682,0.998523,Ashford,Kent,England
ME9 0SP,51.282379,0.734815,Maidstone,Kent,England
TN4 8FL,51.137163,0.26056,Tunbridge Wells,Kent,England
TN14 7SD,51.33337,0.181995,Sevenoaks,Kent,England
DA3 7JP,51.398339,0.32132,Dartford,Kent,England
CT3 1XG,51.261478,1.155769,Canterbury,Kent,England
ME19 5EN,51.323228,0.364862,Tonbridge and Malling,Kent,England
TN15 0HX,51.279419,0.215529,Sevenoaks,Kent,England
TN27 0DS,51.206019,0.806157,Ashford,Kent,England
TN3 8DS,51.105307,0.390334,Tunbridge Wells,Kent,England
TN13 3BH,51.278379,0.184751,Sevenoaks,Kent,England
TN14 6HS,51.247436,0.172522,Sevenoaks,Kent,England
HA7 4QL,51.619165,-0.293893,Harrow,,England
TN15 7LU,51.329583,0.327319,Tonbridge and Malling,Kent,England
DA1 2PB,51.442868,0.204753,Dartford,Kent,England
ME9 8EF,51.314028,0.725217,Swale,Kent,England
DA12 3DA,51.391989,0.397732,Gravesham,Kent,England
TW12 2TH,51.417389,-0.363,Richmond upon Thames,,England
TN3 9NJ,51.106289,0.192982,Wealden,East Sussex,England
DA12 3AY,51.386062,0.381439,Gravesham,Kent,England
DA11 7NX,51.415622,0.36776,Gravesham,Kent,England
DA13 9NQ,51.413054,0.316673,Dartford,Kent,England
DA12 4HS,51.425695,0.393872,Gravesham,Kent,England
DA12 3EN,51.411129,0.431709,Gravesham,Kent,England
BR8 7PJ,51.406937,0.195373,Sevenoaks,Kent,England
TN17 4EH,51.064017,0.588704,Tunbridge Wells,Kent,England
TN25 6SX,51.113345,0.954236,Ashford,Kent,England
TD6 0RU,55.585546,-2.667433,Scottish Borders,,Scotland
DA3 8LZ,51.382668,0.292358,Sevenoaks,Kent,England
DA1 3AD,51.448275,0.207028,Dartford,Kent,England
TN15 0RP,51.264042,0.21122,Sevenoaks,Kent,England
TN14 7NT,51.306286,0.096691,Sevenoaks,Kent,England
TN15 0SL,51.252627,0.237801,Sevenoaks,Kent,England
TN4 0TH,51.169349,0.24946,Tunbridge Wells,Kent,England
TN2 4PB,51.142384,0.324523,Tunbridge Wells,Kent,England
TN12 7PD,51.149935,0.388565,Tunbridge Wells,Kent,England
TN15 6TE,51.310533,0.216138,Sevenoaks,Kent,England
TN12 5LX,51.21657,0.37742,Tonbridge and Malling,Kent,England
ME3 8BH,51.413841,0.504424,Medway,,England
DA11 8NE,51.423834,0.341256,Gravesham,Kent,England
TN13 1FH,51.274453,0.188421,Sevenoaks,Kent,England
TN15 0ER,51.290982,0.248687,Sevenoaks,Kent,England
ME19 4SU,51.273855,0.403604,Tonbridge and Malling,Kent,England
