postcode,latitude,longitude,admin_district,admin_county,country
SS16 4UT,51.56087,0.489988,Basildon,Essex,England
TN16 1NE,51.26239,0.098175,Sevenoaks,Kent,England
TN12 7PB,51.150719,0.388448,Tunbridge Wells,Kent,England
ME19 5BQ,51.305446,0.369385,Tonbridge and Malling,Kent,England
PO5 3HY,50.788096,-1.087496,Portsmouth,,England
CT3 4FA,51.27928,1.12049,Canterbury,Kent,England
DA5 2EA,51.430298,0.166986,Dartford,Kent,England
TN13 3AB,51.274445,0.190743,Sevenoaks,Kent,England
TN13 2LL,51.271473,0.178918,Sevenoaks,Kent,England
TN26 2ES,51.075634,0.806999,Ashford,Kent,England
ME19 4YU,51.273047,0.396106,Tonbridge and Malling,Kent,England
DA1 2PB,51.442868,0.204753,Dartford,Kent,England
TN11 8HN,51.195442,0.201535,Sevenoaks,Kent,England
TN25 6SX,51.113345,0.954236,Ashford,Kent,England
ME9 0SP,51.282379,0.734815,Maidstone,Kent,England
TN4 8FL,51.137163,0.26056,Tunbridge Wells,Kent,England
TN14 7SD,51.33337,0.181995,Sevenoaks,Kent,England
DA3 7JP,51.398339,0.32132,Dartford,Kent,England
TN13 1NU,51.267698,0.185577,Sevenoaks,Kent,England
TN15 0HX,51.279419,0.215529,Sevenoaks,Kent,England
TN27 0DS,51.206019,0.806157,Ashford,Kent,England
TN13 3BH,51.278379,0.184751,Sevenoaks,Kent,England
TN14 6HS,51.247436,0.172522,Sevenoaks,Kent,England
TN17 4JS,51.058338,0.654995,Ashford,Kent,England
DA12 3DA,51.391989,0.397732,Gravesham,Kent,England
TW12 2TH,51.417389,-0.363,Richmond upon Thames,,England
DA11 7NX,51.415622,0.36776,Gravesham,Kent,England
TN27 8DF,51.095382,0.640034,Ashford,Kent,England
TN24 8HX,51.156249,0.870458,Ashford,Kent,England
DA12 4HS,51.425695,0.393872,Gravesham,Kent,England
DA12 3EN,51.411129,0.431709,Gravesham,Kent,England
BR8 7PJ,51.406937,0.195373,Sevenoaks,Kent,England
TN17 4EH,51.064017,0.588704,Tunbridge Wells,Kent,England
TD6 0RU,55.585546,-2.667433,Scottish Borders,,Scotland
TN15 0RP,51.264042,0.21122,Sevenoaks,Kent,England
ME16 0WD,51.269243,0.485371,Maidstone,Kent,England
TN15 0SL,51.252627,0.237801,Sevenoaks,Kent,England
TN4 0TH,51.169349,0.24946,Tunbridge Wells,Kent,England
BR8 8HU,51.392753,0.169365,Sevenoaks,Kent,England
TN12 5LX,51.21657,0.37742,Tonbridge and Malling,Kent,England
DA1 3AE,51.448678,0.206184,Dartford,Kent,England
DA4 9BA,51.400864,0.242026,Sevenoaks,Kent,England
DA1 2DT,51.444826,0.213928,Dartford,Kent,England
TN15 0ER,51.290982,0.248687,Sevenoaks,Kent,England
ME19 4SU,51.273855,0.403604,Tonbridge and Malling,Kent,England
