postcodes,latitude,longitude,admin_district,admin_county,country,name
DA1 1AE,51.442736,0.22603,Dartford,Kent,England
DA1 1DE,51.444237,0.219426,Dartford,Kent,England,Dartford High Street
DA1 2HS,51.444577,0.215686,Dartford,Kent,England,Dartford Priory
DA1 4ES,51.451038,0.179051,Bexley,,England,Crayford
DA10 0AB,51.448567,0.309475,Dartford,Kent,England,Swanscombe
DA11 7HQ,51.421241,0.355335,Gravesham,Kent,England,ELLENOR HOSPICE
DA11 8QT,51.433731,0.352294,Gravesham,Kent,England,Northfleet
DA12 2DU,51.442136,0.370383,Gravesham,Kent,England,Gravesend Kings Street
DA12 2PA,51.440721,0.385117,Gravesham,Kent,England
DA15 9NA,51.450009,0.105902,Bexley,,England,Blackfen
DA16 3AA,51.462923,0.108397,Bexley,,England,Welling
DA2 8DA,51.434952,0.258673,Dartford,Kent,England,Darent Valley Hospital
DA3 8JB,51.366065,0.30476,Sevenoaks,Kent,England
DA5 1AD,51.441553,0.1472,Bexley,,England,Bexly
DA8 3EX,51.472561,0.161876,Bexley,,England
ME2 4TP,51.395952,0.495641,Medway,,England
