postcode,latitude,longitude,admin_district,admin_county,country
DA7 5AA,51.46419,0.15251,Bexley,,England
DA3 7PJ,51.395996,0.311095,Dartford,Kent,England
DA1 1XD,51.446425,0.234428,Dartford,Kent,England
DA2 6EG,51.439315,0.247362,Dartford,Kent,England
DA11 9DL,51.447565,0.325112,Gravesham,Kent,England
DA11 0QU,51.438221,0.36513,Gravesham,Kent,England
DA11 8BL,51.429668,0.346345,Gravesham,Kent,England
DA4 9BT,51.402971,0.242862,Dartford,Kent,England
TN15 6EB,51.350623,0.259577,Sevenoaks,Kent,England
DA7 6AZ,51.454188,0.161885,Bexley,,England
DA1 5NE,51.453135,0.230581,Dartford,Kent,England
DA11 7NF,51.432919,0.363575,Gravesham,Kent,England
DA3 8LU,51.38741,0.293601,Sevenoaks,Kent,England
DA3 7PW,51.394211,0.317719,Dartford,Kent,England
DA11 8ND,51.423465,0.341712,Gravesham,Kent,England
DA1 5JH,51.45304,0.224718,Dartford,Kent,England
DA3 7JP,51.398339,0.32132,Dartford,Kent,England
DA3 8DA,51.381925,0.302697,Sevenoaks,Kent,England
DA11 8PP,51.422895,0.348184,Gravesham,Kent,England
DA2 6AY,51.444125,0.242777,Dartford,Kent,England
DA11 7EZ,51.428201,0.352226,Gravesham,Kent,England
DA11 9NT,51.439442,0.353638,Gravesham,Kent,England
DA2 7BA,51.43126,0.189763,Dartford,Kent,England
DA11 0JN,51.437199,0.352904,Gravesham,Kent,England
DA13 9JT,51.404532,0.349932,Gravesham,Kent,England
DA12 5HP,51.42806,0.3762,Gravesham,Kent,England
DA1 1YY,51.447243,0.233518,Dartford,Kent,England
DA11 7DX,51.429771,0.357802,Gravesham,Kent,England
DA12 1QL,51.432685,0.37962,Gravesham,Kent,England
DA1 3JT,51.442044,0.192092,Dartford,Kent,England
DA12 5EU,51.412347,0.381554,Gravesham,Kent,England
DA11 8PJ,51.421353,0.350623,Gravesham,Kent,England
DA1 1QN,51.4412,0.225438,Dartford,Kent,England
DA12 5FG,51.423382,0.38289,Gravesham,Kent,England
BR8 7SA,51.413581,0.186315,Sevenoaks,Kent,England
DA12 1PG,51.432109,0.388481,Gravesham,Kent,England
DA11 9FE,51.437803,0.343395,Gravesham,Kent,England
